version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
MichelleAbbot,mabbot@5y6z1g.onmicrosoft.com,amin@123, No,Michelle,Abbot,,Finance,,,,,,,,,
SergeiArmov,sarmov@5y6z1g.onmicrosoft.com,amin@124, No,Sergei,Armov,,Operations,,,,,,,,,
KyleAtest,katest@5y6z1g.onmicrosoft.com,amin@125, No,Kyle,Atest,,Sales,,,,,,,,,
MelissaBanner,mbanner@5y6z1g.onmicrosoft.com,amin@126, No,Melissa,Banner,,Information Technology,,,,,,,,,
JenniferBarnes,jbarnes@5y6z1g.onmicrosoft.com,amin@127, No,Jennifer,Barnes,,Operations,,,,,,,,,
FranklinBenning,fbenning@5y6z1g.onmicrosoft.com,amin@128, No,Franklin,Benning,,Sales,,,,,,,,,
PaulaBenton,pbenton@5y6z1g.onmicrosoft.com,amin@129, No,Paula,Benton,,Information Technology,,,,,,,,,
MaxBerner,mberner@5y6z1g.onmicrosoft.com,amin@130, No,Max,Berner,,Human Resources,,,,,,,,,
ChristineBingly,cbingly@5y6z1g.onmicrosoft.com,amin@131, No,Christine,Bingly,,Operations,,,,,,,,,
PaulaBreker,pbreker@5y6z1g.onmicrosoft.com,amin@132, No,Paula,Breker,,Purchasing,,,,,,,,,
PhylisCanning,pcanning@5y6z1g.onmicrosoft.com,amin@133, No,Phylis,Canning,,Sales,,,,,,,,,
DanielleCarling,dcarling@5y6z1g.onmicrosoft.com,amin@134, No,Danielle,Carling,,Finance,,,,,,,,,
DavidCerring,dcerring@5y6z1g.onmicrosoft.com,amin@135, No,David,Cerring,,Information Technology,,,,,,,,,
WilliamCerring,wcerring@5y6z1g.onmicrosoft.com,amin@136, No,William,Cerring,,Operations,,,,,,,,,
ClayDanning,cdanning@5y6z1g.onmicrosoft.com,amin@137, No,Clay,Danning,,Sales,,,,,,,,,
AprilDennil,adennil@5y6z1g.onmicrosoft.com,amin@138, No,April,Dennil,,Human Resources,,,,,,,,,
BurtDraon,bdraon@5y6z1g.onmicrosoft.com,amin@139, No,Burt,Draon,,Information Technology,,,,,,,,,
CesarDzering,cdzering@5y6z1g.onmicrosoft.com,amin@140, No,Cesar,Dzering,,Human Resources,,,,,,,,,
YvetteEater,yeater@5y6z1g.onmicrosoft.com,amin@141, No,Yvette,Eater,,Finance,,,,,,,,,
PhilipEncarrots,pencarrots@5y6z1g.onmicrosoft.com,amin@142, No,Philip,Encarrots,,Information Technology,,,,,,,,,
PhilipEntacos,pentacos@5y6z1g.onmicrosoft.com,amin@143, No,Philip,Entacos,,Purchasing,,,,,,,,,
AndreErrot,aerrot@5y6z1g.onmicrosoft.com,amin@144, No,Andre,Errot,,Finance,,,,,,,,,
ChristopherExeter,cexeter@5y6z1g.onmicrosoft.com,amin@145, No,Christopher,Exeter,,Finance,,,,,,,,,
MildridExeter,mexeter@5y6z1g.onmicrosoft.com,amin@146, No,Mildrid,Exeter,,Operations,,,,,,,,,
AllanFactor,afactor@5y6z1g.onmicrosoft.com,amin@147, No,Allan,Factor,,Operations,,,,,,,,,
KennethFaser,kfaser@5y6z1g.onmicrosoft.com,amin@148, No,Kenneth,Faser,,Marketing,,,,,,,,,
IgorFastern,ifastern@5y6z1g.onmicrosoft.com,amin@149, No,Igor,Fastern,,Human Resources,,,,,,,,,
